Month,Sales in Millions
1964-01-01,2815.00
1964-02-01,2672.00
1964-03-01,2755.00
1964-04-01,2721.00
1964-05-01,2946.00
1964-06-01,3036.00
1964-07-01,2282.00
1964-08-01,2212.00
1964-09-01,2922.00
1964-10-01,4301.00
1964-11-01,5764.00
1964-12-01,7312.00
1965-01-01,2541.00
1965-02-01,2475.00
1965-03-01,3031.00
1965-04-01,3266.00
1965-05-01,3776.00
1965-06-01,3230.00
1965-07-01,3028.00
1965-08-01,1759.00
1965-09-01,3595.00
1965-10-01,4474.00
1965-11-01,6838.00
1965-12-01,8357.00
1966-01-01,3113.00
1966-02-01,3006.00
1966-03-01,4047.00
1966-04-01,3523.00
1966-05-01,3937.00
1966-06-01,3986.00
1966-07-01,3260.00
1966-08-01,1573.00
1966-09-01,3528.00
1966-10-01,5211.00
1966-11-01,7614.00
1966-12-01,9254.00
1967-01-01,5375.00
1967-02-01,3088.00
1967-03-01,3718.00
1967-04-01,4514.00
1967-05-01,4520.00
1967-06-01,4539.00
1967-07-01,3663.00
1967-08-01,1643.00
1967-09-01,4739.00
1967-10-01,5428.00
1967-11-01,8314.00
1967-12-01,10651.00
1968-01-01,3633.00
1968-02-01,4292.00
1968-03-01,4154.00
1968-04-01,4121.00
1968-05-01,4647.00
1968-06-01,4753.00
1968-07-01,3965.00
1968-08-01,1723.00
1968-09-01,5048.00
1968-10-01,6922.00
1968-11-01,9858.00
1968-12-01,11331.00
1969-01-01,4016.00
1969-02-01,3957.00
1969-03-01,4510.00
1969-04-01,4276.00
1969-05-01,4968.00
1969-06-01,4677.00
1969-07-01,3523.00
1969-08-01,1821.00
1969-09-01,5222.00
1969-10-01,6872.00
1969-11-01,10803.00
1969-12-01,13916.00
1970-01-01,2639.00
1970-02-01,2899.00
1970-03-01,3370.00
1970-04-01,3740.00
1970-05-01,2927.00
1970-06-01,3986.00
1970-07-01,4217.00
1970-08-01,1738.00
1970-09-01,5221.00
1970-10-01,6424.00
1970-11-01,9842.00
1970-12-01,13076.00
1971-01-01,3934.00
1971-02-01,3162.00
1971-03-01,4286.00
1971-04-01,4676.00
1971-05-01,5010.00
1971-06-01,4874.00
1971-07-01,4633.00
1971-08-01,1659.00
1971-09-01,5951.00
1971-10-01,6981.00
1971-11-01,9851.00
1971-12-01,12670.00
1972-01-01,4348.00
1972-02-01,3564.00
1972-03-01,4577.00
1972-04-01,4788.00
1972-05-01,4618.00
1972-06-01,5312.00
1972-07-01,4298.00
1972-08-01,1413.00
1972-09-01,5877.00
